alert_id,transaction_id,alert_type,alert_date,resolved,resolution_date,remarks
alert134117,txn10034117,frequent_failure,2025-08-03 13:29:58.950559,False,,Strategy forward the risk necessary company ready.
alert183925,txn10083925,frequent_failure,2024-10-09 09:41:15.203880,True,2024-10-11 02:41:15.203880,Art do federal short.
alert163439,txn10063439,unusual_time,2025-02-23 01:23:55.939700,True,2025-02-24 10:23:55.939700,Age board fine participant join.
alert164967,txn10064967,frequent_failure,2025-07-08 21:50:16.926780,True,2025-07-09 19:50:16.926780,Among doctor much physical interest catch.
alert159661,txn10059661,frequent_failure,2025-08-02 22:59:36.158113,True,2025-08-05 07:59:36.158113,Would catch themselves be represent why decade.
alert180006,txn10080006,unusual_amount,2025-03-05 13:01:59.435642,True,2025-03-06 20:01:59.435642,Democrat class ago such story cold environmental tax.
alert130778,txn10030778,unusual_amount,2025-08-03 22:53:05.661964,True,2025-08-06 08:06:42.015035,Anyone onto style science then Republican black myself.
alert122322,txn10022322,unusual_amount,2021-12-18 21:00:55.193482,True,2021-12-19 18:00:55.193482,Write anyone capital national.
alert155954,txn10055954,unusual_amount,2025-06-08 02:15:10.955244,False,,Realize mention grow several season husband their.
alert140444,txn10040444,suspicious_login,2025-07-09 03:05:01.895561,False,,Everybody team effect purpose series imagine name.
alert173510,txn10073510,suspicious_login,2025-07-19 11:07:29.789947,True,2025-07-19 23:07:29.789947,Price front summer score artist defense.
alert172416,txn10072416,unusual_time,2023-11-20 04:16:19.744607,True,2023-11-22 17:16:19.744607,Score may reality compare almost impact college address.
alert182690,txn10082690,unusual_time,2024-05-17 21:04:17.758389,True,2024-05-18 03:04:17.758389,Attention final model ability simple response stock.
alert156982,txn10056982,frequent_failure,2024-06-09 21:28:12.742255,True,2024-06-11 13:28:12.742255,Break report fear for officer.
alert121922,txn10021922,unusual_time,2025-07-15 09:36:47.457776,True,2025-07-15 12:36:47.457776,Century class enjoy.
alert190191,txn10090191,suspicious_login,2025-06-18 07:10:06.631008,True,2025-06-19 07:10:06.631008,Represent happen child allow nice member along.
alert132693,txn10032693,suspicious_login,2025-08-05 16:21:06.270341,True,2025-08-05 18:21:06.270341,Believe western head democratic mission she daughter.
alert162262,txn10062262,unusual_time,2025-07-30 05:00:02.242600,True,2025-08-02 04:00:02.242600,Pay true for contain.
alert143058,txn10043058,suspicious_login,2025-08-05 05:08:29.007047,False,,Official billion sign prepare them while stop.
alert172962,txn10072962,frequent_failure,2024-05-23 05:49:33.205106,False,,I computer mention lay area under its.
alert111288,txn10011288,frequent_failure,2025-07-19 20:21:44.255716,False,,Including have accept until.
alert190757,txn10090757,frequent_failure,2024-05-02 06:13:55.047276,True,2024-05-02 11:13:55.047276,Specific case his increase lose.
alert195992,txn10095992,suspicious_login,2025-07-29 21:44:15.748156,True,2025-08-01 13:44:15.748156,Source detail never figure interesting information.
alert144016,txn10044016,unusual_time,2024-04-15 18:47:05.919063,False,,Benefit respond head.
alert131558,txn10031558,unusual_time,2025-03-06 16:16:55.730304,True,2025-03-08 23:16:55.730304,Sometimes maybe just return.
alert118287,txn10018287,unusual_time,2025-07-13 14:10:45.738859,True,2025-07-16 04:10:45.738859,Us argue left east partner money.
alert197713,txn10097713,suspicious_login,2025-05-25 00:29:57.435569,True,2025-05-26 04:29:57.435569,Several ok scientist meeting.
alert117919,txn10017919,suspicious_login,2025-08-03 15:58:56.067194,True,2025-08-03 18:58:56.067194,Society level house him nice money catch whose.
alert128056,txn10028056,unusual_time,2024-06-19 21:18:43.772461,True,2024-06-20 03:18:43.772461,Return hundred official up education participant always speak.
